id,fname,lname,email,division,department,status,employeeType,title,jobCode,manager
356,James,Martinez,James.Martinez@Training.com,,Engineering,active,,,,75
357,Willie,Wear,Willie.Wear@Training.com,,IT,active,,,,78
358,Calvin,Balderas,Calvin.Balderas@Training.com,,Human Resources,active,,,,82
359,Alyssa,Taylor,Alyssa.Taylor@Training.com,,Marketing,active,,,,83
360,Victoria,Herring,Victoria.Herring@Training.com,,Sales,active,,,,84
361,William,Flowers,William.Flowers@Training.com,,Engineering,active,,,,86
362,Eva,Michaels,Eva.Michaels@Training.com,,IT,active,,,,89
363,Rosemary,Williamson,Rosemary.Williamson@Training.com,,Accounting,active,,,,93
364,Chris,Burk,Chris.Burk@Training.com,,Engineering,active,,,,98
365,Vicky,Jackson,Vicky.Jackson@Training.com,,Marketing,active,,,,99
366,Myron,Alu,Myron.Alu@Training.com,,Sales,active,,,,100
367,Monica,Jones,Monica.Jones@Training.com,,IT,active,,,,102
368,Barbara,Cash,Barbara.Cash@Training.com,,Marketing,active,,,,103
369,Elizabeth,Glover,Elizabeth.Glover@Training.com,,Sales,active,,,,104
370,Laura,Werth,Laura.Werth@Training.com,,Engineering,active,,,,106
371,Donald,Johnson,Donald.Johnson@Training.com,,Accounting,active,,,,109
372,Donald,Dennison,Donald.Dennison@Training.com,,Marketing,active,,,,110
373,Julia,Guzman,Julia.Guzman@Training.com,,Sales,active,,,,111
374,Alexander,Marks,Alexander.Marks@Training.com,,Engineering,active,,,,113
375,Dwayne,Taylor,Dwayne.Taylor@Training.com,,IT,active,,,,116
376,Matthew,Guzman,Matthew.Guzman@Training.com,,Human Resources,active,,,,120
377,Juanita,Swanson,Juanita.Swanson@Training.com,,Marketing,active,,,,121
378,Kathleen,Talamo,Kathleen.Talamo@Training.com,,Sales,active,,,,122
379,Kaitlyn,Mulcahy,Kaitlyn.Mulcahy@Training.com,,Engineering,active,,,,124
380,Dawn,Slaughter,Dawn.Slaughter@Training.com,,IT,active,,,,127
381,Patricia,Lomeli,Patricia.Lomeli@Training.com,,Accounting,active,,,,131
382,Carol,Patterson,Carol.Patterson@Training.com,,Production,active,,,,136
383,Gary,Vera,Gary.Vera@Training.com,,Sales,active,,,,137
384,Craig,Meeks,Craig.Meeks@Training.com,,Engineering,active,,,,138
385,John,Kubin,John.Kubin@Training.com,,IT,active,,,,141
386,Robert,Boucher,Robert.Boucher@Training.com,,Accounting,active,,,,145
387,Elmer,Dow,Elmer.Dow@Training.com,,Human Resources,active,,,,150
388,Rita,Cooper,Rita.Cooper@Training.com,,Engineering,active,,,,156
389,Andrew,Calderon,Andrew.Calderon@Training.com,,Marketing,active,,,,157
390,James,Sykes,James.Sykes@Training.com,,Sales,active,,,,158
391,Francis,Burke,Francis.Burke@Training.com,,Sales,active,,,,159
392,John,Lavallee,John.Lavallee@Training.com,,Engineering,active,,,,160
393,George,Hudson,George.Hudson@Training.com,,Accounting,active,,,,162
394,Gladys,Lewis,Gladys.Lewis@Training.com,,Marketing,active,,,,163
395,Robert,Vazquez,Robert.Vazquez@Training.com,,Sales,active,,,,164
396,Grover,Acton,Grover.Acton@Training.com,,Engineering,active,,,,166
397,Inez,Lee,Inez.Lee@Training.com,,IT,active,,,,169
398,Albert,Esskew,Albert.Esskew@Training.com,,Human Resources,inactive,,,,173
399,Richard,Barbieri,Richard.Barbieri@Training.com,,Marketing,active,,,,174
400,Mark,Stell,Mark.Stell@Training.com,,Sales,active,,,,175
401,Stacey,Sosa,Stacey.Sosa@Training.com,,Engineering,active,,,,177
402,David,Marriner,David.Marriner@Training.com,,IT,active,,,,180
403,Willard,Lindquist,Willard.Lindquist@Training.com,,Accounting,active,,,,184
404,Kelly,Murphy,Kelly.Murphy@Training.com,,Production,active,,,,189
405,Ann,White,Ann.White@Training.com,,Sales,active,,,,190
406,Mary,Coleman,Mary.Coleman@Training.com,,Engineering,active,,,,191
407,Gregory,Merrifield,Gregory.Merrifield@Training.com,,IT,active,,,,194
408,David,Mattingly,David.Mattingly@Training.com,,Accounting,active,,,,198
409,Mitchell,Stclair,Mitchell.Stclair@Training.com,,Human Resources,active,,,,203
410,Faith,Walser,Faith.Walser@Training.com,,Engineering,active,,,,209
411,Carole,Kenyon,Carole.Kenyon@Training.com,,IT,active,,,,212
412,Christy,Harder,Christy.Harder@Training.com,,Accounting,active,,,,216
413,Mary,Zocklein,Mary.Zocklein@Training.com,,Human Resources,active,,,,221
414,Margaret,Towe,Margaret.Towe@Training.com,,Production,inactive,,,,227
415,Joseph,Taylor,Joseph.Taylor@Training.com,,Sales,active,,,,233
416,Jon,Davis,Jon.Davis@Training.com,,Engineering,active,,,,234
417,Sharon,Frye,Sharon.Frye@Training.com,,Marketing,active,,,,235
418,John,Diaz,John.Diaz@Training.com,,Sales,active,,,,236
419,Yvonne,Smith,Yvonne.Smith@Training.com,,Engineering,active,,,,238
420,Cynthia,Gibson,Cynthia.Gibson@Training.com,,Human Resources,active,,,,242
421,Michael,Reddy,Michael.Reddy@Training.com,,Marketing,active,,,,243
422,Lloyd,Gourley,Lloyd.Gourley@Training.com,,Sales,active,,,,244
423,William,Barras,William.Barras@Training.com,,Engineering,active,,,,246
424,Brenna,Brimfield,Brenna.Brimfield@Training.com,,IT,active,,,,249
425,Greg,Taylor,Greg.Taylor@Training.com,,Accounting,active,,,,253
426,Paul,Boudreau,Paul.Boudreau@Training.com,,Production,active,,,,258
427,Dwayne,Mele,Dwayne.Mele@Training.com,,Sales,active,,,,259
428,Genevieve,Wilmoth,Genevieve.Wilmoth@Training.com,,Engineering,active,,,,260
429,William,Kjelland,William.Kjelland@Training.com,,IT,active,,,,263
430,Robert,Hall,Robert.Hall1@Training.com,,Accounting,active,,,,267
431,Joyce,Jordan,Joyce.Jordan@Training.com,,Human Resources,active,,,,272
432,Sally,Williams,Sally.Williams@Training.com,,Engineering,active,,,,278
433,Michael,West,Michael.West@Training.com,,IT,active,,,,281
434,Veronica,Mitchell,Veronica.Mitchell@Training.com,,Accounting,active,,,,285
435,Dustin,Wurster,Dustin.Wurster@Training.com,,Human Resources,active,,,,290
436,Nancy,Komara,Nancy.Komara@Training.com,,Production,active,,,,296
437,Jean,Hutchison,Jean.Hutchison@Training.com,,Engineering,active,,,,302
438,Sally,Loper,Sally.Loper@Training.com,,Accounting,active,,,,307
439,Nolan,Perkins,Nolan.Perkins@Training.com,,Human Resources,active,,,,312
440,Jonathan,Kotas,Jonathan.Kotas@Training.com,,Production,active,,,,318
441,Barbara,Weil,Barbara.Weil@Training.com,,Human Resources,active,,,,32
442,Robert,Whitemore,Robert.Whitemore@Training.com,,Marketing,active,,,,33
443,Lori,Brown,Lori.Brown@Training.com,,Sales,active,,,,34
444,Leonard,Burgess,Leonard.Burgess@Training.com,,Marketing,active,,,,35
445,Ashley,Smallwood,Ashley.Smallwood@Training.com,,IT,active,,,,40
446,Steven,Rauer,Steven.Rauer@Training.com,,Marketing,active,,,,48
447,Lauren,Taylor,Lauren.Taylor@Training.com,,Sales,active,,,,49
448,Victoria,Flower,Victoria.Flower@Training.com,,IT,active,,,,54
449,Lisa,Manzo,Lisa.Manzo@Training.com,,Engineering,active,,,,60
450,Michael,Creek,Michael.Creek@Training.com,,Marketing,active,,,,61
451,Joseph,Pockrus,Joseph.Pockrus@Training.com,,Sales,active,,,,62
452,Steven,Harris,Steven.Harris@Training.com,,IT,active,,,,64
453,Pam,Barton,Pam.Barton@Training.com,,Marketing,active,,,,65
454,Lynda,Corley,Lynda.Corley@Training.com,,Sales,active,,,,66
455,Michael,Dejesus,Michael.Dejesus@Training.com,,Engineering,active,,,,68
456,Connie,Menges,Connie.Menges@Training.com,,Accounting,active,,,,71
457,Melvin,Torrez,Melvin.Torrez@Training.com,,Engineering,active,,,,75
458,William,Brown,William.Brown@Training.com,,IT,active,,,,78
459,Crystal,Thomas,Crystal.Thomas@Training.com,,Human Resources,active,,,,82
460,Charles,Northrop,Charles.Northrop@Training.com,,Marketing,active,,,,83
461,George,Grier,George.Grier@Training.com,,Sales,active,,,,84
462,Bernice,Montalvo,Bernice.Montalvo@Training.com,,Engineering,active,,,,86
463,Harrison,Shirley,Harrison.Shirley@Training.com,,IT,active,,,,89
464,Marilyn,Mujalli,Marilyn.Mujalli@Training.com,,Accounting,active,,,,93
465,Ann,Woolwine,Ann.Woolwine@Training.com,,Engineering,active,,,,98
466,Lynda,Holt,Lynda.Holt@Training.com,,Marketing,active,,,,99
467,Rachel,Steverson,Rachel.Steverson@Training.com,,Sales,active,,,,100
468,Trinh,Knowles,Trinh.Knowles@Training.com,,IT,active,,,,102
469,Keith,Carson,Keith.Carson@Training.com,,Marketing,active,,,,103
470,Richard,Barnfield,Richard.Barnfield@Training.com,,Sales,active,,,,104
471,Donald,Weaver,Donald.Weaver@Training.com,,Engineering,active,,,,106
472,Judith,Wafer,Judith.Wafer@Training.com,,Accounting,active,,,,109
473,Michael,Greeley,Michael.Greeley@Training.com,,Marketing,inactive,,,,110
474,Jose,Brown,Jose.Brown@Training.com,,Sales,active,,,,111
475,Rebecca,Crosby,Rebecca.Crosby@Training.com,,Engineering,active,,,,113
476,Ashley,Brown,Ashley.Brown@Training.com,,IT,active,,,,116
477,Mary,Cole,Mary.Cole@Training.com,,Human Resources,inactive,,,,120
478,Lisa,Serrano,Lisa.Serrano@Training.com,,Marketing,active,,,,121
479,Crystal,Oliver,Crystal.Oliver@Training.com,,Sales,active,,,,122
480,George,Gorden,George.Gorden@Training.com,,Engineering,active,,,,124
481,Leah,Gales,Leah.Gales@Training.com,,IT,active,,,,127
482,Ivy,Howley,Ivy.Howley@Training.com,,Accounting,active,,,,131
483,Merle,Rozanski,Merle.Rozanski@Training.com,,Production,active,,,,136
484,Fernando,Foster,Fernando.Foster@Training.com,,Sales,active,,,,137
485,Emily,Kirkpatrick,Emily.Kirkpatrick@Training.com,,Engineering,active,,,,138
486,Juana,Moses,Juana.Moses@Training.com,,IT,active,,,,141
487,Pat,Howard,Pat.Howard@Training.com,,Accounting,active,,,,145
488,Richard,Malave,Richard.Malave@Training.com,,Human Resources,active,,,,150
489,Stephanie,Lambes,Stephanie.Lambes@Training.com,,Engineering,active,,,,156
490,David,Bains,David.Bains@Training.com,,Marketing,active,,,,157
491,Ruben,Chapman,Ruben.Chapman@Training.com,,Sales,active,,,,158
492,Benjamin,Crawford,Benjamin.Crawford@Training.com,,Sales,active,,,,159
493,Alan,Northrup,Alan.Northrup@Training.com,,Engineering,active,,,,160
494,Allen,Lewis,Allen.Lewis@Training.com,,Accounting,active,,,,162
495,Oswaldo,Rogers,Oswaldo.Rogers@Training.com,,Marketing,active,,,,163
496,Louise,Pennington,Louise.Pennington@Training.com,,Sales,active,,,,164
497,Yesenia,Carrillo,Yesenia.Carrillo@Training.com,,Engineering,active,,,,166
498,Johnnie,Myhre,Johnnie.Myhre@Training.com,,IT,active,,,,169
499,Mary,Grosvenor,Mary.Grosvenor@Training.com,,Human Resources,active,,,,173
500,Robert,Mcmullen,Robert.Mcmullen@Training.com,,Marketing,active,,,,174
501,David,Quirin,David.Quirin@Training.com,,Sales,active,,,,175
502,Numbers,Schupbach,Numbers.Schupbach@Training.com,,Engineering,active,,,,177
503,Denise,Rauch,Denise.Rauch@Training.com,,IT,active,,,,180
504,Clara,Centeno,Clara.Centeno@Training.com,,Accounting,active,,,,184
505,James,Butler,James.Butler@Training.com,,Production,active,,,,189
506,Douglas,Merrick,Douglas.Merrick@Training.com,,Sales,active,,,,190
507,Clayton,Bailey,Clayton.Bailey@Training.com,,Engineering,active,,,,191
508,Monica,Egan,Monica.Egan@Training.com,,IT,active,,,,194
509,Jay,Gonzalez,Jay.Gonzalez@Training.com,,Accounting,active,,,,198
510,Randy,Lee,Randy.Lee@Training.com,,Human Resources,active,,,,203
511,Ursula,Baugus,Ursula.Baugus@Training.com,,Engineering,active,,,,209
512,Karen,Barnwell,Karen.Barnwell@Training.com,,IT,active,,,,212
513,Mike,Kunkle,Mike.Kunkle@Training.com,,Accounting,active,,,,216
514,Yulanda,Fulton,Yulanda.Fulton@Training.com,,Human Resources,active,,,,221
515,Cynthia,Williams,Cynthia.Williams@Training.com,,Production,active,,,,227
516,Marita,Torres,Marita.Torres@Training.com,,Sales,active,,,,233
517,Fay,Galloway,Fay.Galloway@Training.com,,Engineering,active,,,,234
518,Patricia,Davis,Patricia.Davis@Training.com,,Marketing,active,,,,235
519,Arthur,Brown,Arthur.Brown@Training.com,,Sales,active,,,,236
520,Eleonora,Vandevelde,Eleonora.Vandevelde@Training.com,,Engineering,active,,,,238
521,Lyle,Lee,Lyle.Lee@Training.com,,Human Resources,active,,,,242
522,Orlando,Kelly,Orlando.Kelly@Training.com,,Marketing,active,,,,243
523,Melissa,Beyett,Melissa.Beyett@Training.com,,Sales,active,,,,244
524,Douglas,Loucks,Douglas.Loucks@Training.com,,Engineering,active,,,,246
525,Elyse,Suttle,Elyse.Suttle@Training.com,,IT,active,,,,249
526,Patrick,Soule,Patrick.Soule@Training.com,,Accounting,active,,,,253
527,Deborah,Goodman,Deborah.Goodman@Training.com,,Production,active,,,,258
528,Sandra,Kaliher,Sandra.Kaliher@Training.com,,Sales,active,,,,259
529,George,Kennedy,George.Kennedy@Training.com,,Engineering,active,,,,260
530,Steven,Hamner,Steven.Hamner@Training.com,,IT,active,,,,263
531,Sylvester,Bang,Sylvester.Bang@Training.com,,Accounting,active,,,,267
532,Caroline,Gray,Caroline.Gray@Training.com,,Human Resources,active,,,,272
533,Laura,Rogers,Laura.Rogers@Training.com,,Engineering,active,,,,278
534,Michael,Gomez,Michael.Gomez@Training.com,,IT,active,,,,281
535,Sally,Tuck,Sally.Tuck@Training.com,,Accounting,active,,,,285
536,Gary,Johnson,Gary.Johnson@Training.com,,Human Resources,active,,,,290
537,Agustin,Neuman,Agustin.Neuman@Training.com,,Production,active,,,,296
538,Benjamin,Pendleton,Benjamin.Pendleton@Training.com,,Engineering,active,,,,302
539,James,Bailey,James.Bailey@Training.com,,Accounting,active,,,,307
540,David,Mercedes,David.Mercedes@Training.com,,Human Resources,inactive,,,,312
541,Jeanne,Otoole,Jeanne.Otoole@Training.com,,Production,active,,,,318
542,Charles,Rouse,Charles.Rouse@Training.com,,Engineering,active,,,,330
543,James,Bartlett,James.Bartlett@Training.com,,Human Resources,active,,,,333
544,Katharine,Martin,Katharine.Martin@Training.com,,Marketing,active,,,,334
545,Frank,Robinson,Frank.Robinson@Training.com,,Sales,active,,,,335
546,Alan,Phelps,Alan.Phelps@Training.com,,IT,active,,,,338
547,Michael,Bradford,Michael.Bradford@Training.com,,Accounting,active,,,,340
548,Gloria,Sims,Gloria.Sims@Training.com,,Production,active,,,,344
549,Robert,Reagan,Robert.Reagan@Training.com,,Sales,active,,,,345
550,Heath,Grove,Heath.Grove@Training.com,,Engineering,active,,,,346
551,Janice,Foster,Janice.Foster@Training.com,,IT,active,,,,349
552,Roy,Odell,Roy.Odell@Training.com,,Accounting,active,,,,353
553,Stephen,Johnson,Stephen.Johnson@Training.com,,Human Resources,active,,,,358
554,Barbara,Smith,Barbara.Smith@Training.com,,Engineering,active,,,,364
555,Pedro,Hamilton,Pedro.Hamilton@Training.com,,IT,active,,,,367
556,Luis,Mathis,Luis.Mathis@Training.com,,Accounting,active,,,,371
557,Erika,Volz,Erika.Volz@Training.com,,Human Resources,active,,,,376
558,Mark,Torres,Mark.Torres@Training.com,,Production,active,,,,382
559,Roosevelt,Mullen,Roosevelt.Mullen@Training.com,,Engineering,active,,,,388
560,Stephen,Beumer,Stephen.Beumer@Training.com,,Accounting,active,,,,393
561,Alice,Wheelock,Alice.Wheelock@Training.com,,Human Resources,active,,,,398
562,Rose,Rivett,Rose.Rivett@Training.com,,Production,active,,,,404
563,Robert,Gatling,Robert.Gatling@Training.com,,Human Resources,active,,,,420
564,Frances,Matava,Frances.Matava@Training.com,,Production,active,,,,426
565,Julia,Motte,Julia.Motte@Training.com,,Marketing,active,,,,61
566,Susan,Matos,Susan.Matos@Training.com,,Sales,active,,,,62
567,Trina,Wells,Trina.Wells@Training.com,,IT,active,,,,64
568,Madelyn,Kost,Madelyn.Kost@Training.com,,Marketing,active,,,,65
569,Shannon,Lehman,Shannon.Lehman@Training.com,,Sales,active,,,,66
570,Leah,Shelvey,Leah.Shelvey@Training.com,,Engineering,active,,,,68
571,Amanda,Mahoney,Amanda.Mahoney@Training.com,,IT,active,,,,78
572,Richard,Marx,Richard.Marx@Training.com,,Human Resources,active,,,,82
573,Darrell,Mcmillen,Darrell.Mcmillen@Training.com,,IT,active,,,,89
574,Alberta,Mack,Alberta.Mack@Training.com,,Accounting,active,,,,93
575,James,Terry,James.Terry@Training.com,,Marketing,inactive,,,,99
576,Richard,Segura,Richard.Segura@Training.com,,Sales,active,,,,100
577,Lawrence,Lloyd,Lawrence.Lloyd@Training.com,,Sales,active,,,,104
578,Matilda,Leyh,Matilda.Leyh@Training.com,,Engineering,active,,,,106
579,Laura,Lytch,Laura.Lytch@Training.com,,Marketing,active,,,,110
580,Steven,Lance,Steven.Lance@Training.com,,Sales,active,,,,111
581,Daniel,Solis,Daniel.Solis@Training.com,,IT,active,,,,127
582,Randy,Strickland,Randy.Strickland@Training.com,,Accounting,active,,,,131
583,Brent,Green,Brent.Green@Training.com,,Engineering,active,,,,138
584,Melissa,Cooper,Melissa.Cooper@Training.com,,IT,active,,,,141
585,Lila,Shultz,Lila.Shultz@Training.com,,Accounting,active,,,,145
586,Tiffani,Brock,Tiffani.Brock@Training.com,,Engineering,active,,,,156
587,David,Valliere,David.Valliere@Training.com,,Marketing,active,,,,157
588,Elizabeth,Perez,Elizabeth.Perez@Training.com,,Sales,active,,,,158
589,Charles,Hensley,Charles.Hensley@Training.com,,Sales,active,,,,159
590,Judith,Carrillo,Judith.Carrillo@Training.com,,Engineering,active,,,,160
591,Leslie,Brown,Leslie.Brown@Training.com,,Accounting,active,,,,162
592,Rose,Coleman,Rose.Coleman@Training.com,,Marketing,active,,,,163
593,Robert,Robinson,Robert.Robinson@Training.com,,Sales,active,,,,164
594,Philip,Seger,Philip.Seger@Training.com,,Engineering,active,,,,166
595,Kevin,Holman,Kevin.Holman@Training.com,,IT,active,,,,169
596,Michael,Griggs,Michael.Griggs@Training.com,,Human Resources,active,,,,173
597,William,Watson,William.Watson@Training.com,,Marketing,active,,,,174
598,Valerie,Ortiz,Valerie.Ortiz@Training.com,,Sales,active,,,,175
599,Paul,Lockhart,Paul.Lockhart@Training.com,,Engineering,active,,,,177
600,Kathleen,Foster,Kathleen.Foster@Training.com,,IT,active,,,,180
601,Joseph,Harrison,Joseph.Harrison@Training.com,,Accounting,active,,,,184
602,Jeffrey,Lance,Jeffrey.Lance@Training.com,,Production,active,,,,189
603,Odell,Matier,Odell.Matier@Training.com,,Sales,active,,,,190
604,Linda,Luoma,Linda.Luoma@Training.com,,Engineering,active,,,,191
605,Kathy,Sakamoto,Kathy.Sakamoto@Training.com,,IT,active,,,,194
606,Jean,Lyons,Jean.Lyons@Training.com,,Accounting,active,,,,198
607,Sandra,Naylor,Sandra.Naylor@Training.com,,Human Resources,active,,,,203
608,Gregory,Henry,Gregory.Henry@Training.com,,Engineering,active,,,,209
609,Rosalie,Winkfield,Rosalie.Winkfield@Training.com,,IT,active,,,,212
610,Olivia,Hayward,Olivia.Hayward@Training.com,,Accounting,active,,,,216
611,Maritza,Sporle,Maritza.Sporle@Training.com,,Human Resources,active,,,,221
612,Miguel,Wynn,Miguel.Wynn@Training.com,,Production,active,,,,227
613,Carolyn,Siegmund,Carolyn.Siegmund@Training.com,,Sales,active,,,,233
614,James,Cox,James.Cox@Training.com,,Engineering,active,,,,234
615,Jerry,Kauffman,Jerry.Kauffman@Training.com,,Marketing,active,,,,235
616,Doris,Anderson,Doris.Anderson@Training.com,,Sales,active,,,,236
617,Jennifer,Petruzzelli,Jennifer.Petruzzelli@Training.com,,Engineering,active,,,,238
618,Stephen,Klima,Stephen.Klima@Training.com,,Human Resources,active,,,,242
619,Edward,Davis,Edward.Davis@Training.com,,Marketing,active,,,,243
620,Timothy,Brockman,Timothy.Brockman@Training.com,,Sales,inactive,,,,244
621,Shirley,Paul,Shirley.Paul@Training.com,,Engineering,active,,,,246
622,Joan,Finke,Joan.Finke@Training.com,,IT,active,,,,249
623,Cynthia,Fluitt,Cynthia.Fluitt@Training.com,,Accounting,active,,,,253
624,Frank,Christopher,Frank.Christopher@Training.com,,Production,active,,,,258
625,Jerome,Shaw,Jerome.Shaw@Training.com,,Sales,active,,,,259
626,Ramon,Edwards,Ramon.Edwards@Training.com,,Engineering,active,,,,260
627,Germaine,Boeck,Germaine.Boeck@Training.com,,IT,active,,,,263
628,Barbara,Mccoy,Barbara.Mccoy@Training.com,,Accounting,active,,,,267
629,Barbara,Wainwright,Barbara.Wainwright@Training.com,,Human Resources,active,,,,272
630,Fredrick,Braswell,Fredrick.Braswell@Training.com,,Engineering,active,,,,278
631,Rebecca,Stark,Rebecca.Stark@Training.com,,IT,active,,,,281
632,Daniela,Tuck,Daniela.Tuck@Training.com,,Accounting,active,,,,285
633,Emma,Buckley,Emma.Buckley@Training.com,,Human Resources,active,,,,290
634,Fred,Wichmann,Fred.Wichmann@Training.com,,Production,active,,,,296
635,Cathy,Obryan,Cathy.Obryan@Training.com,,Engineering,active,,,,302
636,Francis,Graziano,Francis.Graziano@Training.com,,Accounting,active,,,,307
637,Inez,Mcnutt,Inez.Mcnutt@Training.com,,Human Resources,active,,,,312
638,Carrie,Munger,Carrie.Munger@Training.com,,Production,active,,,,318
639,John,Love,John.Love@Training.com,,Engineering,inactive,,,,330
640,Louis,Golden,Louis.Golden@Training.com,,Human Resources,active,,,,333
641,Connie,Rodriguez,Connie.Rodriguez@Training.com,,Marketing,active,,,,334
642,Julie,Hildebrant,Julie.Hildebrant@Training.com,,Sales,active,,,,335
643,Aaron,Provencal,Aaron.Provencal@Training.com,,IT,active,,,,338
644,Rosetta,Dworkin,Rosetta.Dworkin@Training.com,,Accounting,active,,,,340
645,Bobbie,Boles,Bobbie.Boles@Training.com,,Production,active,,,,344
646,Kimberly,Evans,Kimberly.Evans@Training.com,,Sales,active,,,,345
647,Sherwood,Mitchell,Sherwood.Mitchell@Training.com,,Engineering,active,,,,346
648,Greg,Carnes,Greg.Carnes@Training.com,,IT,active,,,,349
649,Antonio,Roghair,Antonio.Roghair@Training.com,,Accounting,active,,,,353
650,Joseph,Valencia,Joseph.Valencia@Training.com,,Human Resources,active,,,,358
651,Arthur,Pilcher,Arthur.Pilcher@Training.com,,Engineering,active,,,,364
652,Laura,Morgan,Laura.Morgan@Training.com,,IT,active,,,,367
653,Leonard,Pierce,Leonard.Pierce@Training.com,,Accounting,active,,,,371
654,Barry,Fields,Barry.Fields@Training.com,,Human Resources,active,,,,376
655,Kevin,Hodges,Kevin.Hodges@Training.com,,Production,active,,,,382
656,John,Queen,John.Queen@Training.com,,Engineering,active,,,,388
657,Patricia,Stahl,Patricia.Stahl@Training.com,,Accounting,active,,,,393
658,Bertha,Keller,Bertha.Keller@Training.com,,Human Resources,active,,,,398
659,John,Saballos,John.Saballos@Training.com,,Production,active,,,,404
660,Alfonso,Plaza,Alfonso.Plaza@Training.com,,Human Resources,active,,,,420
661,Jill,Connolly,Jill.Connolly@Training.com,,Production,active,,,,426
662,Herman,Laskoski,Herman.Laskoski@Training.com,,Human Resources,active,,,,441
663,Dorothy,Green,Dorothy.Green@Training.com,,Marketing,active,,,,442
664,Glenda,Kemppainen,Glenda.Kemppainen@Training.com,,Sales,active,,,,443
665,Thomas,Suhr,Thomas.Suhr@Training.com,,IT,active,,,,445
666,Helena,Grupe,Helena.Grupe@Training.com,,Engineering,active,,,,449
667,Dwight,Birden,Dwight.Birden@Training.com,,IT,active,,,,452
668,Faye,Davis,Faye.Davis@Training.com,,Accounting,active,,,,456
669,Jeanette,Taylor,Jeanette.Taylor@Training.com,,Human Resources,active,,,,459
670,Ralph,Mitchell,Ralph.Mitchell@Training.com,,Engineering,active,,,,465
671,Matthew,Lockhart,Matthew.Lockhart@Training.com,,IT,active,,,,468
672,Angel,Taylor,Angel.Taylor@Training.com,,Accounting,active,,,,472
673,Elvira,Pham,Elvira.Pham@Training.com,,Human Resources,active,,,,477
674,Joel,Chamberlain,Joel.Chamberlain@Training.com,,Production,active,,,,483
675,Annie,Martin,Annie.Martin@Training.com,,Engineering,active,,,,489
676,Oscar,Young,Oscar.Young@Training.com,,Accounting,active,,,,494
677,Lynne,Jones,Lynne.Jones@Training.com,,Human Resources,active,,,,499
678,Mallory,Hopper,Mallory.Hopper@Training.com,,Production,active,,,,505
679,Janice,Parks,Janice.Parks@Training.com,,Human Resources,active,,,,521
680,Kirk,Thomas,Kirk.Thomas@Training.com,,Production,active,,,,527
681,Prince,Ring,Prince.Ring@Training.com,,Human Resources,active,,,,543
682,Jeannette,Morton,Jeannette.Morton@Training.com,,Production,active,,,,548
683,Gerry,Highsmith,Gerry.Highsmith@Training.com,,Sales,active,,,,100
684,Charles,Madina,Charles.Madina@Training.com,,Sales,active,,,,104
685,Ola,Carter,Ola.Carter@Training.com,,Engineering,active,,,,106
686,Patricia,Crissler,Patricia.Crissler@Training.com,,Marketing,active,,,,110
687,Latasha,Hyman,Latasha.Hyman@Training.com,,Sales,active,,,,111
688,Ronald,Ernst,Ronald.Ernst@Training.com,,Engineering,active,,,,138
689,Kenneth,Harris,Kenneth.Harris@Training.com,,Accounting,active,,,,145
690,Paul,Grimm,Paul.Grimm@Training.com,,Sales,active,,,,159
691,Dorothy,Richter,Dorothy.Richter@Training.com,,Engineering,active,,,,160
692,William,Svoboda,William.Svoboda@Training.com,,Accounting,active,,,,162
693,James,Turben,James.Turben@Training.com,,Marketing,active,,,,163
694,James,Begley,James.Begley@Training.com,,Sales,active,,,,164
695,Dean,Deluna,Dean.Deluna@Training.com,,Engineering,active,,,,166
696,John,Vernon,John.Vernon@Training.com,,IT,active,,,,169
697,Jessica,Calhoun,Jessica.Calhoun@Training.com,,Human Resources,active,,,,173
698,Sabrina,Casey,Sabrina.Casey@Training.com,,Marketing,active,,,,174
699,Cheri,Balint,Cheri.Balint@Training.com,,Sales,active,,,,175
700,Sandra,Vereb,Sandra.Vereb@Training.com,,IT,active,,,,180
701,Pearl,Cendejas,Pearl.Cendejas@Training.com,,Accounting,active,,,,184
702,Chi,Brugman,Chi.Brugman@Training.com,,Production,active,,,,189
703,Deloris,Kelly,Deloris.Kelly@Training.com,,Sales,active,,,,190
704,Harvey,Martinez,Harvey.Martinez@Training.com,,Engineering,active,,,,191
705,Cynthia,Livesey,Cynthia.Livesey@Training.com,,IT,inactive,,,,194
706,Sybil,Arrowood,Sybil.Arrowood@Training.com,,Accounting,active,,,,198
707,Johnnie,Cervantes,Johnnie.Cervantes@Training.com,,Human Resources,active,,,,203
708,Tammy,Piper,Tammy.Piper@Training.com,,Engineering,active,,,,209
709,Edward,Hatton,Edward.Hatton@Training.com,,Accounting,active,,,,216
710,Denise,Schueler,Denise.Schueler@Training.com,,Sales,active,,,,233
711,Kenneth,Byker,Kenneth.Byker@Training.com,,Engineering,active,,,,234
712,Florence,Hancock,Florence.Hancock@Training.com,,Marketing,active,,,,235
713,Ruth,Summers,Ruth.Summers@Training.com,,Sales,active,,,,236
714,Jean,Hurlbut,Jean.Hurlbut@Training.com,,Engineering,inactive,,,,238
715,Debra,Garcia,Debra.Garcia@Training.com,,Human Resources,active,,,,242
716,Nicole,Newman,Nicole.Newman@Training.com,,Marketing,active,,,,243
717,Concepcion,Holleman,Concepcion.Holleman@Training.com,,Sales,active,,,,244
718,Diane,Allen,Diane.Allen@Training.com,,Engineering,active,,,,246
719,Norris,Hall,Norris.Hall@Training.com,,IT,active,,,,249
